;Rendement
0;-0.02031078990024909
1;0.04413929222962352
2;0.034048815858526635
3;0.019214932525129454
4;-0.017675149681293193
5;0.061881485471355406
6;-0.04437218478851832
7;0.02919535316962225
8;0.09566307256635569
9;0.049445958836408295
10;0.11196060823976041
11;-0.03771829885099976
12;-0.005340113241242648
13;0.014050719590791943
14;0.07189314196933778
15;0.01717885320258915
16;0.005999378481455438
17;0.08594041554875802
18;0.003897014424700842
19;0.04391082920122202
20;0.04692704795475649
21;0.02538164566396503
22;0.03746977073289173
23;-0.026530215262082494
24;0.0010908436354939966
25;0.04027395611546524
26;0.05471794820988947
27;-0.021223710327675747
28;-0.048109523204940954
29;-0.02168000777254136
30;-0.00717069282742969
31;0.041851594655598776
32;0.04152420560513477
33;-0.0031689174238667306
34;-0.021356737816572605
35;-0.046344993600994255
36;0.06821675461505179
37;0.028035541988974587
38;-0.0165669790214298
39;-0.0053053131336355365
40;-0.07297504069949624
41;-0.027957290664927824
42;-0.02443963001212708
43;0.046380207013232
44;0.1049674054602265
45;-0.03985642738194954
46;-0.019646478336454578
47;0.03779175866688277
48;0.02930004198430396
49;-0.028536337641234297
50;0.038190147581947116
51;0.04955156295661339
52;-0.01483391627693635
53;0.0031800719843606373
54;-0.0016546407248064555
55;0.09032766721195372
56;-0.0007358762496198778
57;0.025346159017649653
58;-0.06877840523854331
59;0.030770504434288738
60;-0.046188704413132345
61;0.08817000232545681
62;-0.040550305253520665
63;0.023902039487676347
64;-0.03102453518923696
65;0.01419587184660685
66;0.08014124083403146
67;0.13350817493103379
68;0.04491829406924296
69;0.0230442028896438
70;0.03822814837011478
71;-0.04247910159091958
72;-0.03947722262494281
73;0.03350997669485395
74;0.008091592299721952
75;0.037067389271722394
76;0.022968945736459433
77;0.07000572310611403
78;0.047741550796307736
79;0.0010950222264349918
80;-0.041170677931451106
81;0.030717870656026207
82;0.049279225882125674
83;-0.03579105485474145
84;0.07814923964776938
85;0.08918602371105379
86;-0.020156713162516694
87;0.02703486941125789
88;0.03128880305625188
89;-0.023238013367634664
90;-0.034247043942467886
91;0.005082758135678916
92;-0.048271300649779934
93;0.015505820237421232
94;-0.0004921656913916194
95;0.07028870851185445
96;0.04471581210001403
97;-0.033548967467177275
98;0.1539061465913869
