Date_Calcul;Type_Optimisation;Ticker;Poids_Pct
2026-07-03;Max_Sharpe;AAPL;33.35
2026-07-03;Max_Sharpe;GLD;45.0
2026-07-03;Max_Sharpe;TLT;21.33
2026-07-03;Max_Sharpe;JPM;0.31
